Company,Year,SIC Code,Female Directors (%),Female Directors (N),Board Size,Independent Directors (N),Board Independence (%),ROA (%),Firm Size (ln assets),Leverage (%)
Adobe Inc,2009,7372,10.0,1,10,7,70.0,10.04874,8.893193,32.842504
Adobe Inc,2010,7372,10.0,1,10,7,70.0,12.48399,9.004686,36.220457
Adobe Inc,2011,7372,0.0,0,9,6,66.66667,13.313839999999999,9.104,35.680177
Adobe Inc,2012,7372,16.66667,2,12,9,75.0,11.80281,9.207789,33.177937
Adobe Inc,2013,7372,15.384619999999998,2,13,10,76.92308,4.3276200000000005,9.247664,35.217332
Adobe Inc,2014,7372,15.384619999999998,2,13,10,76.92308,4.1032399999999996,9.285989,37.177707999999996
Adobe Inc,2015,7372,15.384619999999998,2,13,10,76.92308,7.62935,9.369604,40.292528
Adobe Inc,2016,7372,20.0,2,10,7,70.0,11.742189999999999,9.449917,41.569463
Adobe Inc,2017,7372,20.0,2,10,8,80.0,14.9158,9.584353,41.798793
Adobe Inc,2018,7372,18.181820000000002,2,11,9,81.81818,15.13356,9.839945,50.11842600000001
Akamai Technologies Inc,2009,7370,25.0,3,12,8,66.66667,10.72733,7.643727,16.708327
Akamai Technologies Inc,2010,7370,27.27273,3,11,6,54.54546,10.79035,7.763309,7.551396
Akamai Technologies Inc,2011,7370,36.363640000000004,4,11,7,63.63636,12.62481,7.760254,8.068681
Akamai Technologies Inc,2012,7370,40.0,4,10,6,60.0,12.330869999999999,7.863508,9.800444
Akamai Technologies Inc,2013,7370,27.27273,3,11,7,63.63636,14.121310000000001,7.992162,11.098342
Akamai Technologies Inc,2014,7370,25.0,3,12,8,66.66667,12.38309,8.294436,26.395073000000004
Akamai Technologies Inc,2015,7370,27.27273,3,11,7,63.63636,11.19106,8.339961,25.479132999999997
Akamai Technologies Inc,2016,7370,25.0,3,12,8,66.66667,10.78388,8.383238,26.268869
Akamai Technologies Inc,2017,7370,27.27273,3,11,7,63.63636,8.21396,8.43443,28.072231
Akamai Technologies Inc,2018,7370,25.0,3,12,9,75.0,8.344949999999999,8.605528,41.55997
Analog Devices,2009,3674,0.0,0,10,7,70.0,9.94253,8.132792,25.707092
Analog Devices,2010,3674,0.0,0,10,7,70.0,21.17331,8.373053,26.083578000000003
Analog Devices,2011,3674,0.0,0,10,7,70.0,20.36228,8.571234,28.084966
Analog Devices,2012,3674,10.0,1,10,7,70.0,14.82515,8.634149,25.887868000000005
Analog Devices,2013,3674,10.0,1,10,7,70.0,12.37053,8.761198,25.732346
Analog Devices,2014,3674,9.090910000000001,1,11,8,72.72727,12.00557,8.833418,30.639767000000003
Analog Devices,2015,3674,9.090910000000001,1,11,12,109.09089999999999,15.07172,8.862509,28.167217
Analog Devices,2016,3674,10.0,1,10,12,120.0,13.251769999999999,8.983475,35.188986
Analog Devices,2017,3674,11.11111,1,9,9,100.0,7.25619,9.958983,51.935109000000004
Analog Devices,2018,3674,20.0,2,10,10,100.0,9.626759999999999,9.925727,46.265727
Apple Inc,2009,3571,14.285709999999998,1,7,4,57.14286,24.71527,10.76851,33.390876000000006
Apple Inc,2010,3571,16.66667,1,6,3,50.0,24.45367,11.22768,36.433768
Apple Inc,2011,3571,12.5,1,8,4,50.0,29.036440000000002,11.66454,34.163151
Apple Inc,2012,3663,12.5,1,8,6,75.0,31.37552,11.668,32.859642
Apple Inc,2013,3663,12.5,1,8,6,75.0,23.67101,11.668,40.314493
Apple Inc,2014,3663,25.0,2,8,6,75.0,22.64632,11.668,51.886007
Apple Inc,2015,3663,28.57143,2,7,5,71.42857000000001,24.52157,11.668,58.910971
Apple Inc,2016,3663,25.0,2,8,6,75.0,18.48884,11.668,60.132241
Apple Inc,2017,3663,25.0,2,8,6,75.0,16.3445,11.668,64.284515
Apple Inc,2018,3663,25.0,2,8,6,75.0,19.32108,11.668,70.702851
Applied Materials Inc,2009,3559,0.0,0,11,9,81.81818,-2.48404,9.166832,25.899019000000003
